GWNum;Messstelle;Ca;Cl;DOC;LF_mS_m;K;Mg;Na;NO3;pH;SO4;SiO2;U;PSM;Rechtswert;Hochwert;Aquifer_kz;Aquifer;Aquifer2;landuse;landuse_num
176/305-3;GWM WK 190/O, MA-Seckenheim;135;77.9;0.39;93.7;2.76;21.9;47.9;31.3;7.12;102;11.4;0.0011;0.00008;3468050;5479720;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
177/610-1;TB Firma HTS, Murrhardt;592;25.1;0;228;3.9;62.5;14;9.3;7.1;1442;6.6;0.0036;0;3542585;5427460;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;no_agr;0
1770/305-1;GWM 223 Eichelberggruppe, Schriesheim;152;37;0.42;85.8;2.19;27;15.2;80.3;7.19;81.4;14.3;0.0008;0.00014;3474308;5482769;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
178/508-0;BR D Gewann Riegelwiesen, Heilbronn-B?ckingen;240;39;1.8;123.5;6.7;47;20;15;6.96;330;12.4;0.002;0;3513587;5443000;71;LETTENKEUPER;Lettenkeuper;agr;1
178/717-0;QF 1.4 Stetten, Achstetten;146.7;51.5;1.1;75.4;1.1;12.8;15.2;37.6;7.06;41.7;10.5;0.0012;0;3567160;5348560;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;agr;1
179/020-9;GWM PH 25 Hausen Feldkirch, Hartheim am Rhein;0;43.8;0.55;65;1.6;9.3;12;61.4;7.27;44.5;15.1;0.0006;0.00007;3399035;5312950;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
179/308-7;BR 3 Firma Vivelle, KA-HambrÅcken;106;25.6;2.3;59.5;2;11.4;10.4;74.1;7.39;82.4;12.4;0.001;0;3467230;5450010;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
179/422-9;GWM C 19 Sauried, Steiˇlingen;81.9;17;1.2;64.8;1.8;34.8;32.4;12;7.32;29;12.4;0.0997;0;3496110;5293250;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
179/611-5;TB 2 Firma Abt, Schorndorf;148;55;1.04;103.5;21.4;27;32;17.8;6.85;124.7;14.8;0.0043;0;3538260;5407820;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
18/360-6;QF Rait, G?brichen;120;117;1.5;88.4;1.6;34;35.6;13.7;6.93;49.2;7;0.0006;0;3478703;5422270;71;LETTENKEUPER;Lettenkeuper;agr;1
18/362-1;QF Kirche, Althengstett;116;40.4;0;67.5;2.5;35.5;11.4;19.8;7.21;38;5.6;0.0008;0;3484900;5398420;72;MUSCHELKALK;Middle Triassic;no_agr;0
18/370-0;BBR Juxbrunnen, Seitingen;123;13;0.9;52.8;1.2;4.9;6.2;13;7.23;23;5.5;0.0005;0;3480560;5317660;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
18/371-2;QF Hutzelsteig, Tengen;153;29;0.7;68.4;0.7;3.8;10.1;73;7.16;21;5.8;0.0005;0.00019;3475385;5297755;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;agr;1
18/416-9;QF Hangenbrunnenquelle Bechtoldsweiler, Hechingen;127;52;0.9;70;2.4;8.7;26;21;7.05;35;5.8;0.0009;0;3496420;5360430;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
18/467-0;QF Raunsquelle, Burladingen;104;3.4;0.9;45;0.5;1.9;1.1;20;7.63;7.3;3.8;0.00025;0;3509370;5350600;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
18/469-5;QF West und Ost Neidinger MÅhle Hausen im Tal, Beuron;100.5;7;0.4;45.3;0.5;2.1;2.7;8.9;7.27;7;4;0.00025;0;3504970;5328680;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
18/556-8;SBR Firma Agria, M?ckmÅhl;140;29;1.2;75.7;1.6;17;15;14;7.15;87;0;0.0005;0;3525680;5465810;72;MUSCHELKALK;Middle Triassic;no_agr;0
18/557-0;BR Langer Grund, Hardthausen-Lampoldshausen;240;23;1.7;133;1.5;29;0;7;7.39;210;0;0.001;0;3527210;5459160;72;MUSCHELKALK;Middle Triassic;no_agr;0
18/572-4;GWM 1/89 Kappel, Horgenzell;120.2;12;0.97;60.6;0.7;15;3.6;47.9;7.17;26.6;7.5;0.0011;0.00016;3533990;5292120;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
18/603-6;QF K?nigheim, SchneidmÅhle, Gissigheim;171;31;0.81;88.2;3.1;29;6.3;41;7.12;140;9.6;0.0007;0.00004;3542430;5496225;72;MUSCHELKALK;Middle Triassic;agr;1
18/666-6;FB Schmiechstraˇe, Allmendingen;115.5;16.3;1.9;57.4;2;8.4;7.7;20.7;7.02;18.1;4.2;0.0007;0.00003;3553380;5354450;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
18/722-5;SBR 271 Unterriedgarten, Kiˇlegg;117;4.8;8.1;56.8;1.2;11.8;3.1;21;6.93;10.8;6.4;0.0014;0;3562560;5293690;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;no_agr;0
180/210-9;GWM Schule, Forchheim;103;33.3;0.6;56.8;1.5;6.9;16.6;31.4;7.38;49;11.6;0.0028;0;3449870;5427075;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
180/306-9;BR 126,4 GrillhÅtte, Reilingen;154;36;1.4;82.1;1.1;14.9;13.8;56;7.32;121;13.2;0.0007;0;3470238;5462568;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
180/422-3;GWM C 21, Rielasingen;107;33;0.8;60.9;3.7;19.7;15.1;14;7.35;52;10.3;0.0019;0;3488480;5287880;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
182/508-4;BR Amalienhof, Heilbronn-B?ckingen;220;78;2.4;140.8;3.6;51;49;48;6.8;210;12.6;0.0013;0;3514896;5443370;99;MISCHWASSER, MEHRERE AQUIFERE;multiple or undifferentiated;no_agr;0
182/515-0;QF Reiˇenbachquelle Unterhausen, Lichtenstein;101;12.6;0;52;0.66;5;8;15.3;7.38;0;4.4;0.00025;0;3517120;5364640;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
183/309-3;GWM BahnÅbergang, Weingarten;143;42.7;1.85;78.3;3.07;15.8;17;23.7;6.96;51.5;10.8;0.0017;0.00007;3464570;5435080;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
1837/305-1;GWM WK 247 Oben, Ladenburg;133;67.6;0.34;83.7;1.83;21.1;30.2;38.2;7.18;100;10.6;0.001;0.00006;3472819;5481636;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;agr;1
1838/305-7;GWM WK 247 Unten, Ladenburg;134;95.4;0.45;90.2;2.22;25.8;29.3;39.9;7.18;95.1;12.5;0.003;0.00003;3472819;5481636;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;agr;1
184/515-0;GWM H6 Planie Weg/Bismarkstraˇe, Reutlingen;172;427;2.9;133;2.6;8;236;22.2;6.99;62.2;9.2;0.0005;0;3516250;5372835;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
185/161-5;BR Blumenstraˇe 32, RA-Plittersdorf;96.5;39.3;0.75;66.2;9.4;10.6;19.5;14.7;7.15;35;11.3;0.0013;0;3438300;5416730;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
185/223-0;QF Talbachquelle Tiengen, Waldshut-Tiengen;79.8;10;0.56;57.7;0.35;42.2;2.4;24.1;7.54;36.3;7.3;0.0005;0.00005;3446330;5279505;72;MUSCHELKALK;Middle Triassic;no_agr;0
185/305-4;GWM F Sportzentrum, Schriesheim;85.2;29.2;1.3;47.9;3.41;8.1;13.5;11.9;6.71;29.2;17.1;0.0057;0;3474900;5482110;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
186/161-0;BR Josefstraˇe 36, Iffezheim;85.6;18.1;0.65;52.7;0;7.2;0;30.5;7.4;37.7;13.3;0.0007;0;3437170;5409860;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
186/164-9;GWM L?ffelsmatt, Oberkirch;25.3;10.3;1.01;20.8;2.2;7.7;6.8;30.5;5.91;22.4;11.3;0.0005;0;3429480;5378670;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
186/515-1;GWM C3 Friedhof Honau, Lichtenstein;92;8.9;0.43;51.3;0.5;5;7.3;9;7.36;13.9;3.9;0.00025;0;3519245;5363850;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
186/661-3;QF Schloss Lindach, Schw?bisch GmÅnd;116.1;29.2;1.28;61.3;10.5;7.7;15.8;19.4;7.23;43.8;9.6;0.0005;0;3559477;5410581;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
187/115-9;GWM R3 Vivil, Offenburg;83;17;0;48.9;1.2;12;7.5;16;6.88;8.3;19;0.0007;0;3422926;5372112;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
187/164-4;GWM St?ckmatt, Oberkirch-Stadelhofen;27.1;10.2;1.04;19.7;2.4;3.1;8.8;17.5;6.21;15.3;9.1;0.0005;0;3428200;5380820;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
187/258-6;GWM PP 8, Graben;104;14.6;1.3;53;1.6;14.2;6.3;28.9;7.12;52.9;13;0.0015;0;3461848;5443715;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;no_agr;0
1871/305-4;GWM 30 Firma Friatec, MA-Friedrichsfeld;153;67.5;0.41;95.5;6.15;25.1;38.1;32.1;7.06;122;11.1;0.0011;0.00006;3468208;5478678;1;QUART?R M?CHTIGER L?SS (VORBERGZONE);Quaternary URG;no_agr;0
188/068-6;BBR 1 Firma Schultis, Riegel;46.9;12;0.56;26.2;1.5;5.4;8.2;7.3;7.67;20.1;12.4;0.00025;0;3407050;5336030;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
188/258-0;GWM PP 13 Mittel, Liedolsheim;84;4.2;1.3;46.7;3;10.7;13.6;0.5;7.17;1;22.7;0.0005;0;3454620;5447390;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;agr;1
189/021-8;TB Oberfeld Grissheim, Neuenburg am Rhein;139;42.9;0.24;79.3;2.64;17.4;12.6;79.8;7;47.2;10.3;0.0011;0;3394880;5303580;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
19/071-4;BBR1 EVC GmbH, Staufen im Breisgau;22.2;8.3;0.47;16.3;1.9;2.7;7.7;7.1;6.41;7.2;11.2;0.00025;0;3404780;5306390;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
19/267-6;QF Kaibachquelle Schiltach, Schenkenzell;18;8.4;0;14.7;1.44;7.3;3.3;8.2;6.73;7.2;6.9;0.00025;0;3454925;5350030;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
19/316-0;QF 4 Tiefental, V?hringen;83.6;51.9;0.9;68.7;0.6;40.5;14.1;51.2;7.41;27.3;9.7;0.0005;0;3473240;5355310;71;LETTENKEUPER;Lettenkeuper;agr;1
19/321-0;QSS Obere Schlauchquelle Rechts + Links, Ried?schingen;133;8.1;0.7;54.2;0.5;1.8;2.2;37;7.08;12;4.5;0.0005;0;3471880;5300070;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;agr;1
19/360-1;QF Weiherbrunnen, Nuˇbaum;98.6;20.2;1;57.2;1;21.4;5.3;17.3;7.08;30.7;8;0.00025;0;3478880;5427070;71;LETTENKEUPER;Lettenkeuper;no_agr;0
19/362-7;QF Bischofsbrunnen, Bad Liebenzell;15.6;14.8;1.3;14.6;2.4;4.4;6.9;13.6;6.47;11.3;6.1;0.00025;0;3479890;5404125;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
19/364-2;GWM 3 Riedwiese, Rohrdorf;105;16.6;0.52;63.3;1;28.7;4.3;19.5;7.24;46.6;6;0.0014;0;3477610;5381250;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
19/370-5;TB I 1952-1962 im Weiˇenbachtal, Immendingen;90;23;1.2;43;0.5;4.4;8.4;6.7;7.35;12;4.3;0.0005;0;3479520;5312300;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
19/371-8;QSS J?gertal-Schwert+Hauserried-Hauserfohren-Maienbohl, Engen;141;12;0.7;59.4;1;3.8;3.6;24;7.16;15;6.4;0.0007;0;3480690;5300750;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
19/514-3;SBR III Fa.Hirschmann Electonics, Neckartenzlingen;130;46;1.5;90.8;5.9;25;36;10;6.84;72;8.7;0.0027;0;3517950;5384520;98;VORL?UFIG NICHT ZUORDENBAR;multiple or undifferentiated;agr;1
19/607-2;SBR Au 1, Ingelfingen;148;46;1.6;95.4;3.9;30;38;23;6.98;140;12;0.0025;0;3547055;5462430;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
19/624-1;GWM 8202, Langenargen;93.6;9.6;0.62;51.7;1.1;16.5;5.5;13.5;7.12;11.8;6.6;0.0007;0;3541770;5273500;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
19/809-7;BR 6 Gerbachtal, Ellenberg;54.1;12;1;44.4;2.73;31.6;8.3;2.8;7.6;21.3;13.2;0.0045;0;3590240;5433840;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
190/068-9;TB Spargelhof, Riegel;70.4;18;0;43.8;4.58;10.6;10.5;17.1;7.42;34.4;14.2;0.0005;0;3405180;5336320;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
190/210-4;GWM Kirche, Au am Rhein;112;31;1.15;73.1;22.3;12.3;15.4;5.9;7.05;50;11.8;0.0015;0;3444355;5424020;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
190/309-3;BR Untergrombach, Bruchsal;144;30.4;2.14;74.8;5.38;18.1;9.3;34.2;7.02;99.6;10.7;0.0007;0;3466510;5440260;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
191/021-0;TB Untere Rieˇe Neuenburg, Neuenburg am Rhein;132;36.6;0.99;0;3.8;23.7;13;71.4;7.02;48.6;11.6;0.0015;0;3393720;5300120;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
192/068-0;TB 1, Riegel;56.8;16.1;0;35.3;1.54;6.9;10.4;5.8;7.41;28.2;14.4;0.0005;0;3407595;5335750;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
193/065-7;GWM 3, Neuried-Dundenheim;154;32.7;1.43;77.1;1.5;12.9;7.8;112.3;7.13;35.9;11.8;0.0007;0.00011;3413352;5367990;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
194/410-9;BBR Baustoffwerke, MÅhlacker;206;55.4;0.73;111.4;1.43;48.8;16.2;29.9;7.12;294;12;0.006;0.0003;3488978;5424113;72;MUSCHELKALK;Middle Triassic;no_agr;0
195/021-2;TB Unterfeld Ost Grissheim, Neuenburg am Rhein;124;182;0.29;129.1;80.1;15.7;101;91.3;7.01;54.7;9.6;0.0014;0;3395709;5305870;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
195/065-8;GWM 5 Kirchenweg, Neuried-Dundenheim;155;32.6;1.42;80.2;5.4;15.5;11.2;89.3;7.05;49;12.1;0.0009;0.00005;3412472;5367642;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
195/221-1;QF 5+6 Littwiesenquellen G?schweiler, L?ffingen;139;5.8;0.89;69.4;0.69;21.7;2.5;13.4;7.37;119;7.6;0.0005;0;3449100;5301200;72;MUSCHELKALK;Middle Triassic;no_agr;0
195/410-4;TB Firma Steuler, MÅhlacker;127;35.3;0.43;81;1.54;45.8;6.7;31.2;7;74.6;9.7;0.0016;0;3489688;5424236;72;MUSCHELKALK;Middle Triassic;no_agr;0
196/065-3;GWM 6, Neuried Dundenheim;176;40.9;0.93;77;1.3;0;8.8;0;7.21;47.9;13.6;0.0008;0;3413030;5367707;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
196/410-0;GWM 1 Firma Behr, MÅhlacker;149;101;0.99;93.6;2.06;45.6;10;8.2;6.91;44.1;16.3;0.001;0;3489843;5424632;72;MUSCHELKALK;Middle Triassic;no_agr;0
196/717-2;GWM PI-90 Laupheim, Laupheim;110.9;55.5;3.9;72.8;2.5;15.8;33;26.9;7.19;33;7.1;0.0095;0;3564190;5345540;8;QUART?R DECKENSCHOTTER ?BER MOLASSE;Quaternary AF/MB;agr;1
196/769-6;GWM Erolzheim;100;35;0.93;65.1;2.2;24;14;27;7.19;46;11.5;0.0026;0.00004;3580420;5328950;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
197/065-9;GWM 7, Neuried-Dundenheim;162.7;31.3;1.42;76.4;1.1;7.7;6.9;103.3;7.19;45.9;11.7;0.0005;0.00005;3413437;5367573;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
197/211-9;BR 3 Freibad, Kuppenheim;86;21.6;1.3;42.5;4.9;10.6;11.2;20.8;6.6;37;11.8;0.002;0;3446418;5410692;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
197/306-3;GWM FP3 Ruhrgas AG, Sandhausen;102;7.8;1.8;49.8;1;5.7;6.6;18.9;7.59;60;11.9;0.0005;0;3474135;5466100;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
197/410-5;TB Firma H?ndle, MÅhlacker;141;45.3;0.43;88.5;1.43;44.8;14;32.4;6.97;84;9.7;0.0026;0.00027;3489487;5424141;72;MUSCHELKALK;Middle Triassic;no_agr;0
198/065-4;GWM 1, Neuried-Ichenheim;153;24.4;1.72;80.3;8.1;13.9;11.9;64.2;7.01;56.3;12.6;0.0007;0;3412636;5366912;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
198/306-9;GWM TP3 Ruhrgas AG, Sandhausen;118;4.8;2.1;62.6;1.4;18.1;5.2;0.7;7.2;49;18.5;0.0007;0;3474140;5466100;9;(TIEF) QUART?R MITTL.U.UNT.GW-LEITER (OBERRHEINGR.);Quaternary URG;no_agr;0
199/065-0;GWM 2 beim R?derweg, Neuried-Ichenheim;153;27.7;2.12;75.8;2.9;21.2;8.8;96.6;7.05;46.4;11.5;0.0007;0.00003;3413396;5366752;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
199/069-0;GWM Waltershofen, Freiburg im Breisgau;25.2;14.2;3.6;18.7;2.9;3.5;10.8;0.5;6.97;15;11.6;0.00025;0;3406920;5320807;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
199/258-0;GWM FP 1 Friedrichstal, Stutensee;123;32.2;0.79;66.3;2.17;14.2;9.6;73.1;7.29;67.2;11.9;0.0008;0;3462740;5441250;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
199/462-0;SBR Firma Wenzelburger, Stuttgart-M?hringen;119;53.4;1.8;71.3;8.69;7.6;33.9;6.3;7.63;88.2;10.9;0.0012;0;3509690;5398123;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
2/117-9;QF 6 Litschentalquelle, Altdorf;9.1;2.4;0.45;8.7;1.7;3;1.2;3.4;6.46;8.7;12.2;0.00025;0;3419060;5348100;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/121-6;QF Mauswaldstollenquelle, Todtnau;13.5;0.9;0.29;0;0.5;1.7;2.8;4.7;6.81;6.4;11.9;0.0008;0;3422625;5299340;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
2/165-1;QF Silberquelle Neuer Schacht, Gengenbach;5.1;1.6;0.2;5.1;1.5;1.1;1.6;6;6.3;4.2;12.2;0.00025;0;3432170;5366950;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
2/221-0;QF 5 Sommerauquelle, Bonndorf im Schwarzwald;3.2;1;0.3;3.2;1.1;1.3;0.7;0.9;5.62;4;7;0.0007;0;3445330;5297890;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/223-6;QF 3 Berchenwaldquelle Dangstetten, KÅssaberg;103;2.7;0.57;44.2;0.68;10;3.2;7.3;7.41;28.3;7.9;0.0005;0;3449240;5274020;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
2/265-6;TB EttenbÅhl, FDS-Wittlensweiler;11;8.5;0.3;11.1;1.1;3.9;3.5;2.8;6.37;4.1;4.6;0.00025;0;3458200;5371180;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/267-1;TB I Vierh?user, Schramberg;36.2;55.1;0.7;36.8;1.55;13.6;21.4;30.8;6.6;13.1;5.5;0.0005;0;3459190;5344300;81;BUNTSANDSTEIN;Lower Triassic;agr;1
2/268-4;BBR Otte, K?nigsfeld;53.5;40.8;0.7;43.3;1.81;19.3;15.7;8.3;7.06;17.4;8.1;0.0006;0;3457250;5333580;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/269-7;QF Altstadtquelle, Villingen-Schwenningen;132;61.8;0.3;82.1;1.3;28.9;21.9;18.6;7.21;71.9;8.1;0.0005;0;3460600;5324170;72;MUSCHELKALK;Middle Triassic;no_agr;0
2/271-9;QF A, Blumberg-?berachen;198;14;0.6;103.5;1.8;48.7;3.5;38;7.42;355;6.8;0.0057;0;3461200;5299860;99;MISCHWASSER, MEHRERE AQUIFERE;multiple or undifferentiated;no_agr;0
2/314-0;TB 3 Altnuifra, Haiterbach;71.2;7.3;1.2;51.2;1.7;37.5;2.1;5.8;7.19;15.3;6.2;0.0025;0;3471350;5375865;83;(TIEF) BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/316-5;BR Glatt, Sulz am Neckar;105;11.4;0.7;61.9;1.04;25.7;7.9;5.1;7.18;66.1;6.6;0.0006;0;3471785;5360945;72;MUSCHELKALK;Middle Triassic;no_agr;0
2/317-8;QF W?hrdquelle, Oberndorf am Neckar;105;14.3;0.3;65.6;1.2;32.5;4.8;30;7.48;62.6;7.8;0.0005;0;3467620;5350231;72;MUSCHELKALK;Middle Triassic;no_agr;0
2/320-2;BBR I Entenfang, Bad DÅrrheim;105;14.3;0.5;68.4;0.88;40.1;2.7;33;7.47;72.3;10;0.0017;0;3463250;5316600;72;MUSCHELKALK;Middle Triassic;agr;1
2/321-5;QF Billibuck, Riedb?hringen;103;2.2;1;41.3;0.5;1.6;0.8;6.8;7.59;13;4.7;0.0005;0;3464900;5303600;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
2/360-7;BBR I, MÅhlacker;136;34.5;1.6;82.3;1;33.1;14.6;16.3;NA;76.4;7.6;0.0021;0;3487602;5423420;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;agr;1
2/361-0;GWM 2 Firma Wagner, PF-Innenstadt;240;250;0;178.4;2.7;43;66;67;6.87;300;11.8;0.0013;0;3477594;5417498;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/363-5;QF Katharinenplaisir WWV Liebelsberg, Bad Teinach;19.5;8;0.3;16.1;2;7.3;3.1;6.6;7.13;4;7;0.00025;0;3475503;5394121;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/366-3;SBR Firma Kaltenbach, Sulz-Fischingen;228;72.3;0.6;136.2;2.49;54.8;43.7;17.7;7.12;487;8.7;0.0025;0;3475980;5360620;72;MUSCHELKALK;Middle Triassic;agr;1
2/369-1;QF Untere Winkel?ckerquellen, Balgheim;84;3.7;1.1;40;0.7;3.9;3.5;7.5;7.45;26;4;0.00025;0;3483170;5326100;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
2/371-3;GWM P 3, Binningen;169;9.5;1;75.1;0.8;17.3;5.3;12;6.89;17;6.9;0.0015;0;3479200;5296470;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;agr;1
2/415-7;HBR I ASG Kiebingen, Rottenburg am Neckar;162;45.9;0.52;88.8;3.8;43.6;13;27.3;7.06;204;7.1;0.0016;0;3497630;5371986;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
2/416-0;QF B?llatquelle Ostdorf, Balingen;104;10.6;0.63;47.1;0.9;8.8;3.4;10.6;7.45;28.2;5.2;0.0005;0;3489275;5352823;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
2/455-8;QF Meisenbrunnenquelle rechter Zulauf, Zwingenberg;12;3.9;0.9;7.1;1.2;3.4;1.9;7.6;6.15;4.8;11.3;0.00025;0;3503680;5475250;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/464-2;QF Kalter Brunnen, Pliezhausen;85.5;7.2;1.6;40.2;0.9;6.8;6.7;13.7;6.84;33.6;7.8;0.0005;0;3511240;5380620;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
2/505-8;QF Breitenwiesenq, Limbach-Krumbach;18;11;0.48;15.9;1.8;6.7;3.3;12;6.66;4.1;7.6;0.00025;0;3513020;5480520;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
2/520-1;TB ZELL am Andelsbach, Pfullendorf;119;27.5;3.4;71.4;1.1;17.6;13.3;24;7.14;47.6;9.5;0.0091;0;3519900;5314480;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
2/522-7;SBR Zu den Eichen Mimmenhausen, Salem;122;22.7;0.88;68.2;2;17.9;11.3;26.2;7.08;28.8;9.1;0.0014;0.00003;3521870;5291810;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
2/554-3;BR Ursbrunnen, H?pfingen;135;40;0.93;74;1.6;25;12;28;7.25;33;7.5;0.0008;0;3530860;5495660;83;(TIEF) BUNTSANDSTEIN;Lower Triassic;agr;1
